"Rank","WSID","Overall","Team","Pos","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"1","","Todd Gurley","LAR","RB1","12","1","6","2.1","1.2","1.0","0.0"
"2","","Le'Veon Bell","PIT","RB2","7","1","8","2.1","1.3","2.0","0.0"
"3","","David Johnson","ARI","RB3","9","1","11","3.8","2.1","3.0","0.0"
"4","","Antonio Brown","PIT","WR1","7","1","11","4.3","1.7","5.0","+1.0"
"5","","Ezekiel Elliott","DAL","RB4","8","1","15","5.3","2.7","4.0","-1.0"
"6","","DeAndre Hopkins","HOU","WR2","10","1","16","7.5","2.4","8.0","+2.0"
"7","","Alvin Kamara","NO","RB5","6","2","22","7.8","3.9","6.0","-1.0"
"8","","Odell Beckham Jr.","NYG","WR3","9","3","16","8.7","2.5","11.0","+3.0"
"9","","Saquon Barkley","NYG","RB6","9","3","23","9.5","4.0","7.0","-2.0"
"10","","Julio Jones","ATL","WR4","8","2","20","10.4","2.8","13.0","+3.0"
"11","","Michael Thomas","NO","WR5","6","3","20","11.9","3.0","15.0","+4.0"
"12","","Keenan Allen","LAC","WR6","8","5","22","12.9","3.4","17.0","+5.0"
"13","","Melvin Gordon","LAC","RB7","8","5","33","13.5","5.8","10.0","-3.0"
"14","","Kareem Hunt","KC","RB8","12","6","33","14.9","5.4","9.0","-5.0"
"15","","A.J. Green","CIN","WR7","9","10","29","16.1","3.2","19.0","+4.0"
"16","","Davante Adams","GB","WR8","7","9","28","16.7","3.9","18.0","+2.0"
"17","","Leonard Fournette","JAC","RB9","9","7","51","18.0","7.3","12.0","-5.0"
"18","","Christian McCaffrey","CAR","RB10","4","6","73","18.5","9.0","16.0","-2.0"
"19","","Dalvin Cook","MIN","RB11","10","8","39","19.9","6.2","14.0","-5.0"
"20","","Mike Evans","TB","WR9","5","12","45","23.2","5.7","22.0","+2.0"
"21","","Rob Gronkowski","NE","TE1","11","14","53","23.3","7.0","21.0","0.0"
"22","","Devonta Freeman","ATL","RB12","8","13","71","25.2","8.9","20.0","-2.0"
"23","","T.Y. Hilton","IND","WR10","9","13","59","25.5","6.7","29.0","+6.0"
"24","","Larry Fitzgerald","ARI","WR11","9","3","74","27.5","8.9","33.0","+9.0"
"25","","Adam Thielen","MIN","WR12","10","15","84","27.7","9.2","30.0","+5.0"
"26","","Travis Kelce","KC","TE2","12","17","51","27.8","7.7","27.0","+1.0"
"27","","Doug Baldwin","SEA","WR13","7","15","49","28.0","6.3","34.0","+7.0"
"28","","Stefon Diggs","MIN","WR14","10","16","83","29.3","8.6","31.0","+3.0"
"29","","Jerick McKinnon","SF","RB13","11","16","78","29.4","12.4","25.0","-4.0"
"30","","Joe Mixon","CIN","RB14","9","14","77","31.2","9.4","23.0","-7.0"
"31","","Tyreek Hill","KC","WR15","12","19","76","32.5","7.9","28.0","-3.0"
"32","","Jordan Howard","CHI","RB15","5","21","78","34.5","8.3","24.0","-8.0"
"33","","Amari Cooper","OAK","WR16","7","15","91","34.9","11.6","36.0","+3.0"
"34","","Demaryius Thomas","DEN","WR17","10","14","90","35.9","9.6","41.0","+7.0"
"35","","Zach Ertz","PHI","TE3","9","14","74","36.4","9.3","35.0","0.0"
"36","","Golden Tate","DET","WR18","6","23","82","37.1","8.8","46.0","+10.0"
"37","","Jarvis Landry","CLE","WR19","11","20","75","37.3","10.2","38.0","+1.0"
"38","","LeSean McCoy","BUF","RB16","11","16","106","38.2","17.1","26.0","-12.0"
"39","","Aaron Rodgers","GB","QB1","7","29","73","38.8","7.2","32.0","-7.0"
"40","","Allen Robinson","CHI","WR20","5","20","130","42.3","14.4","45.0","+5.0"
"41","","Alex Collins","BAL","RB17","10","21","83","43.5","11.5","40.0","-1.0"
"42","","Kenyan Drake","MIA","RB18","11","17","103","46.5","15.6","37.0","-5.0"
"43","","JuJu Smith-Schuster","PIT","WR21","7","28","92","47.0","11.0","42.0","-1.0"
"44","","Russell Wilson","SEA","QB2","7","32","88","51.7","12.7","54.0","+10.0"
"45","","Marvin Jones","DET","WR22","6","34","91","52.8","11.0","53.0","+8.0"
"46","","Tom Brady","NE","QB3","11","28","82","53.4","11.4","51.0","+5.0"
"47","","Brandin Cooks","LAR","WR23","12","25","109","52.0","13.7","44.0","-3.0"
"48","","Josh Gordon","CLE","WR24","11","19","121","55.4","17.6","49.0","+1.0"
"49","","Jay Ajayi","PHI","RB19","9","19","113","54.9","15.0","43.0","-6.0"
"50","","Lamar Miller","HOU","RB20","10","30","104","55.2","15.5","50.0","0.0"
"51","","Corey Davis","TEN","WR25","8","25","123","57.6","16.2","61.0","+10.0"
"52","","Dion Lewis","TEN","RB21","8","28","104","58.0","15.2","56.0","+4.0"
"53","","Cam Newton","CAR","QB4","4","34","94","58.4","13.3","63.0","+10.0"
"54","","Royce Freeman","DEN","RB22","10","25","109","58.3","16.0","47.0","-7.0"
"55","","Deshaun Watson","HOU","QB5","10","32","93","60.0","12.4","48.0","-7.0"
"56","","Chris Hogan","NE","WR26","11","31","124","58.8","18.6","59.0","+3.0"
"57","","Greg Olsen","CAR","TE4","4","18","120","61.5","15.0","57.0","0.0"
"58","","Michael Crabtree","BAL","WR27","10","28","128","60.0","18.2","65.0","+7.0"
"59","","Alshon Jeffery","PHI","WR28","9","29","139","60.5","18.7","58.0","-1.0"
"60","","Derrick Henry","TEN","RB23","8","34","113","61.3","16.3","39.0","-21.0"
"61","","Mark Ingram","NO","RB24","6","35","140","63.7","17.7","52.0","-9.0"
"62","","Emmanuel Sanders","DEN","WR29","10","42","123","67.4","16.7","78.0","+16.0"
"63","","Drew Brees","NO","QB6","6","46","107","70.1","14.0","76.0","+13.0"
"64","","Evan Engram","NYG","TE5","9","27","129","70.4","16.2","60.0","-4.0"
"65","","Delanie Walker","TEN","TE6","8","48","114","71.2","12.9","73.0","+8.0"
"66","","Sammy Watkins","KC","WR30","12","38","113","68.3","16.0","74.0","+8.0"
"67","","Jimmy Graham","GB","TE7","7","27","128","72.2","17.2","55.0","-12.0"
"68","","Jamison Crowder","WAS","WR31","4","43","112","70.7","16.3","89.0","+21.0"
"69","","Rex Burkhead","NE","RB25","11","33","158","73.8","26.9","71.0","+2.0"
"70","","Marquise Goodwin","SF","WR32","11","30","125","74.6","19.7","68.0","-2.0"
"71","","Pierre Garcon","SF","WR33","11","36","114","74.0","16.7","90.0","+19.0"
"72","","Carson Wentz","PHI","QB7","9","35","156","77.1","20.9","70.0","-2.0"
"73","","Cooper Kupp","LAR","WR34","12","46","114","76.0","14.0","88.0","+15.0"
"74","","Randall Cobb","GB","WR35","7","40","128","76.4","20.0","92.0","+18.0"
"75","","Kyle Rudolph","MIN","TE8","10","18","133","79.0","18.5","80.0","+5.0"
"76","","Tevin Coleman","ATL","RB26","8","35","145","76.2","20.8","67.0","-9.0"
"77","","Robert Woods","LAR","WR36","12","39","132","76.8","17.0","83.0","+6.0"
"78","","Robby Anderson","NYJ","WR37","11","39","186","78.8","20.0","95.0","+17.0"
"79","","Marshawn Lynch","OAK","RB27","7","43","133","79.5","17.9","64.0","-15.0"
"80","","Kirk Cousins","MIN","QB8","10","46","117","81.1","17.3","94.0","+14.0"
"81","","Chris Thompson","WAS","RB28","4","39","215","78.9","26.1","79.0","-2.0"
"82","","Kerryon Johnson","DET","RB29","6","27","164","82.5","24.0","69.0","-13.0"
"83","","Duke Johnson","CLE","RB30","11","35","186","84.4","26.8","85.0","+2.0"
"84","","Andrew Luck","IND","QB9","9","41","180","87.1","21.7","91.0","+7.0"
"85","","Devin Funchess","CAR","WR38","4","44","191","84.3","19.3","84.0","-1.0"
"86","","Matthew Stafford","DET","QB10","6","54","152","89.3","17.7","99.0","+13.0"
"87","","Julian Edelman","NE","WR39","11","50","211","87.5","22.4","72.0","-15.0"
"88","","Tarik Cohen","CHI","RB31","5","45","142","85.3","20.4","82.0","-6.0"
"89","","Sony Michel","NE","RB32","11","42","162","89.5","23.1","77.0","-12.0"
"90","","Trey Burton","CHI","TE9","5","27","200","93.4","24.7","96.0","+6.0"
"91","","Jordan Reed","WAS","TE10","4","25","166","94.2","20.4","87.0","-4.0"
"92","","Will Fuller","HOU","WR40","10","63","147","91.8","16.2","75.0","-17.0"
"93","","Rashaad Penny","SEA","RB33","7","41","175","92.3","26.3","66.0","-27.0"
"94","","Nelson Agholor","PHI","WR41","9","54","160","91.4","17.6","105.0","+11.0"
"95","","Jordy Nelson","OAK","WR42","7","44","149","93.5","17.8","93.0","-2.0"
"96","","Carlos Hyde","CLE","RB34","11","44","146","96.5","24.0","81.0","-15.0"
"97","","Ben Roethlisberger","PIT","QB11","7","53","150","99.5","16.4","104.0","+7.0"
"98","","Sterling Shepard","NYG","WR43","9","65","167","99.3","19.5","106.0","+8.0"
